# This file was machine generated by the rptp2ucm tool
ibm-5048_P100-1995.ucm,34B013B8.RPMAP100,13B834B0.TPMAP100
ibm-5049_P100-1995.ucm,34B013B9.RPMAP100,13B934B0.TPMAP100
ibm-5050_P120-1999.ucm,44B013BA.RPMAP120,13BA44B0.TPMAP110
ibm-5050_P12A-1999.ucm,44B013BA.RPMAP12A,13BA44B0.TPMAP11A
ibm-5067_P100-1995.ucm,34B013CB.RPMAP100,13CB34B0.TPMAP100
ibm-5104_X110-1999.ucm,44B013F0.RXMAP110,13F044B0.TXMAP110
ibm-5123_P100-1999.ucm,44B01403.RPMAP100,140344B0.TPMAP100
ibm-5142_P100-1995.ucm,34B01416.RPMAP100,141634B0.TPMAP100
ibm-5210_P100-1999.ucm,44B0145A.RPMAP100,145A44B0.TPMAP100
ibm-5346_P100-1998.ucm,44B014E2.RPMAP100,14E244B0.TPMAP100
ibm-5347_P100-1998.ucm,44B014E3.RPMAP100,14E344B0.TPMAP100
ibm-5348_P100-1997.ucm,44B014E4.RPMAP100,14E444B0.TPMAP100
ibm-5349_P100-1998.ucm,44B014E5.RPMAP100,14E544B0.TPMAP100
ibm-5350_P100-1998.ucm,44B014E6.RPMAP100,14E644B0.TPMAP100
ibm-5351_P100-1998.ucm,44B014E7.RPMAP100,14E744B0.TPMAP100
ibm-5352_P100-1998.ucm,44B014E8.RPMAP100,14E844B0.TPMAP100
ibm-5353_P100-1998.ucm,44B014E9.RPMAP100,14E944B0.TPMAP100
ibm-5354_P100-1998.ucm,44B014EA.RPMAP100,14EA44B0.TPMAP100
ibm-53685_P101-2000.ucm,44B0D1B5.RPMAP101,D1B544B0.TPMAP101
ibm-5470_P100-2005.ucm,44B0155E.RPMAP100,155E44B0.TPMAP100
ibm-5470_P100_P100-2005_MS.ucm,F204155E.RPMAP100,155EF204.TPMAP100
ibm-5471_P100-2006.ucm,44B0155F.RPMAP100,155F44B0.TPMAP100
ibm-5471_P100-2007.ucm,04D0155F.RPMAP100,155F04D0.TPMAP100
ibm-5473_P100-2006.ucm,44B01561.RPMAP100,156144B0.TPMAP100
ibm-5478_P100-1995.ucm,34B01566.RPMAP100,156634B0.TPMAP100
ibm-5486_P100-1999.ucm,44B0156E.RPMAP100,156E44B0.TPMAP100
ibm-5487_P100-2001.ucm,04B0156F.RPMAP100,156F04B0.TPMAP100
ibm-5488_P100-2001.ucm,04B01570.RPMAP100,157004B0.TPMAP100
ibm-5495_P100-1999.ucm,44B01577.RPMAP100,157744B0.TPMAP100
ibm-62383_P100-2007.ucm,34B0F3AF.RPMAP100,F3AF34B0.TPMAP100
ibm-720_P100-1997.ucm,34B002D0.RPMAP100,02D034B0.TPMAP100
ibm-737_P100-1997.ucm,34B002E1.RPMAP100,02E134B0.TPMAP100
ibm-775_P100-1996.ucm,34B00307.RPMAP100,030734B0.TPMAP100
ibm-803_P100-1999.ucm,34B00323.RPMAP100,032334B0.TPMAP100
ibm-806_P100-1998.ucm,34B00326.RPMAP100,032634B0.TPMAP100
ibm-808_P100-1999.ucm,44B00328.RPMAP100,032844B0.TPMAP100
ibm-813_P100-1995.ucm,34B0032D.RPMAP100,032D34B0.TPMAP100
ibm-819_P100-1999.ucm,34B00333.RPMAP100,033334B0.TPMAP100
ibm-833_P100-1995.ucm,34B00341.RPMAP100,034134B0.TPMAP100
ibm-834_P100-1995.ucm,34B00342.RPMAP100,034234B0.TPMAP100
ibm-834_X100-1995.ucm,34B00342.RXMAP100,034234B0.TXMAP100
